task_id hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
64	d6/238e98	9343	Blast_Reference_Search (BC11)	COMPLETED	0	2021-10-26 22:51:55.843	1h 29m 27s	1h 29m 27s	11.4%	102.8 MB	153.3 MB	467.3 GB	39.5 MB
81	ac/42c3b0	1264	Alignment_Minimap2 (BC11)	COMPLETED	0	2021-10-27 00:21:24.048	4.6s	4.5s	64.5%	215.6 MB	439.2 MB	41.5 MB	948.1 KB
82	a1/cb08a2	2249	Report (BC11)	COMPLETED	0	2021-10-27 00:21:29.606	15.5s	15.5s	25.7%	243.2 MB	480.4 MB	60.9 MB	79.4 KB
83	a1/9c10a6	3438	Consensus (BC11)	COMPLETED	0	2021-10-27 00:21:46.110	2.9s	2.8s	76.2%	112.7 MB	163.8 MB	131.9 MB	66.2 MB
84	ea/40bb7f	3796	Classification_Kraken2_DB2 (BC11)	COMPLETED	0	2021-10-27 00:21:50.002	6m 50s	6m 50s	7.5%	34.1 GB	36.1 GB	34.2 GB	304.5 KB
65	d5/651105	1080	Blast_Reference_Search (BC06)	COMPLETED	0	2021-10-27 00:21:23.042	1h 27m 35s	1h 27m 35s	9.8%	101.9 MB	153.3 MB	467.3 GB	52.4 MB
85	b8/eb83b9	24977	Alignment_Minimap2 (BC06)	COMPLETED	0	2021-10-27 01:48:59.916	5.8s	5.8s	63.5%	497.5 MB	1.4 GB	55.1 MB	1.3 MB
86	b7/203711	25865	Report (BC06)	COMPLETED	0	2021-10-27 01:49:06.720	17.3s	17.3s	27.2%	187 MB	556.6 MB	74 MB	144.6 KB
87	29/ef5e97	26963	Consensus (BC06)	COMPLETED	0	2021-10-27 01:49:25.066	3.2s	3.2s	103.8%	147.5 MB	198.6 MB	164.7 MB	71 MB
88	8f/3feea9	27267	Classification_Kraken2_DB2 (BC06)	COMPLETED	0	2021-10-27 01:49:29.311	6m 31s	6m 31s	8.0%	34.1 GB	34.1 GB	34.2 GB	357.7 KB
66	47/720b9c	24796	Blast_Reference_Search (BC09)	COMPLETED	0	2021-10-27 01:48:58.911	1h 21m 43s	1h 21m 43s	12.0%	102.6 MB	153.3 MB	467.3 GB	40.3 MB
